frame,time_sec,L_Knee_Angle,R_Knee_Angle,L_Hip_x,L_Hip_y,R_Hip_x,R_Hip_y,L_Knee_x,L_Knee_y,R_Knee_x,R_Knee_y,L_Ankle_x,L_Ankle_y,R_Ankle_x,R_Ankle_y
77,2.569,164.1,150.1,1588.5421,669.922,1665.2341,679.3581,1577.6583,786.8824,1726.3052,806.14764,1523.9927,925.4425,1715.5922,954.0359
78,2.603,173.5,159.7,1599.3572,671.9568,1687.3068,683.0212,1570.2244,788.4756,1750.7106,815.6237,1519.5541,923.8321,1764.2135,962.4736
79,2.636,178.7,163.6,1619.8909,678.01996,1700.0399,690.9095,1575.0239,789.46985,1759.5276,818.2077,1526.1116,919.0705,1780.209,954.21094
80,2.669,178.2,171.1,1624.7399,684.115,1715.231,696.22485,1580.9418,798.7,1766.9657,829.4654,1538.018,922.80286,1797.039,966.8575
81,2.703,176.9,162.4,1639.8043,676.36414,1726.3964,689.2706,1600.9633,785.38696,1782.7145,820.0276,1545.2615,918.4809,1797.6471,969.04614
82,2.736,168.4,158.8,1658.6588,679.6119,1748.2097,691.9248,1623.7043,788.5315,1800.9296,826.6509,1553.6353,912.7161,1801.4496,970.8822
83,2.769,162.6,151.9,1683.8514,681.3653,1769.8099,694.4793,1645.6267,787.4218,1821.6588,825.4362,1556.6892,904.41705,1805.5737,966.7966
84,2.803,155.0,151.1,1701.9924,679.44183,1791.9636,692.0599,1665.0868,801.1139,1836.2908,836.0711,1567.5569,909.86005,1808.4149,969.54016
85,2.836,158.1,150.0,1719.8651,684.0357,1810.1116,695.6721,1685.9696,800.7907,1848.0476,828.3804,1586.557,927.57587,1812.5908,970.29
86,2.870,140.1,142.7,1739.2153,668.63696,1819.4767,679.7831,1724.5233,792.1498,1861.7047,829.7512,1615.6029,894.8006,1810.4344,959.67084
87,2.903,131.5,139.4,1762.039,655.17035,1840.1625,669.80774,1764.7285,775.37115,1875.8818,830.76324,1658.7437,873.5896,1803.5046,966.1007
88,2.936,127.5,136.1,1787.3123,652.3885,1870.2185,666.55725,1793.0189,779.17566,1889.3086,837.06775,1692.4406,863.84454,1801.7728,951.22473
89,2.970,126.9,135.3,1812.7142,660.93036,1879.5487,668.7929,1829.906,787.6436,1900.8856,836.603,1746.3528,870.2386,1815.8344,947.70557
90,3.003,134.8,141.3,1828.283,645.0159,1885.8918,651.4093,1854.0146,766.554,1898.8466,804.584,1780.0237,879.6347,1809.0795,938.4244
91,3.036,137.7,142.9,1847.1727,642.2882,1885.4253,648.14014,1872.7476,766.9736,1900.7043,800.84094,1798.1931,892.51556,1811.561,947.0157
92,3.070,148.1,154.7,1885.4968,650.1836,1871.0967,647.0806,1900.8048,792.8958,1885.3916,783.7456,1828.2887,943.17065,1828.3378,946.05273
93,3.103,153.2,147.9,1882.3868,639.7885,1884.953,638.90393,1907.7426,789.1505,1900.3967,790.1448,1865.3699,926.3421,1829.1586,934.2151
94,3.136,146.8,147.6,1898.9696,642.3003,1888.5022,639.2545,1912.8066,797.81726,1903.7319,794.7624,1841.9594,930.3294,1830.416,939.54987
95,3.170,147.7,147.3,1902.3938,657.2386,1900.73,654.74817,1906.2506,810.73224,1906.8706,810.3734,1832.6287,934.0425,1828.8021,943.3382
96,3.203,146.1,146.3,1906.981,667.896,1906.6349,664.67413,1909.3466,818.9315,1910.607,817.9561,1832.1357,937.8075,1829.6656,946.63385
97,3.237,152.7,149.8,1907.2017,666.14777,1915.3438,657.7964,1907.1138,818.4013,1909.8333,808.5663,1841.9276,944.27673,1829.5585,935.7737
98,3.270,145.0,142.8,1903.989,657.2404,1916.4083,649.0743,1910.2533,816.8788,1919.822,808.35406,1830.504,940.85724,1828.2609,934.4145
99,3.303,143.7,144.8,1902.2056,641.0842,1916.8011,633.68024,1913.5577,810.2458,1920.0,802.07855,1835.995,932.11273,1836.5881,925.27466
100,3.337,142.8,140.6,1900.8792,648.1374,1918.436,641.3778,1909.2949,827.20734,1920.0,820.5184,1841.4863,925.793,1840.1796,919.2895
101,3.370,176.6,175.4,1911.1067,684.739,1916.8628,676.7231,1887.9639,863.78345,1893.1168,860.719,1874.7019,933.41327,1877.5427,934.08984
